CTNM|CTNMEN|ADDRESS|CSNM|CTNT|ISLOCAL|CS|PHONE|FAX|SMS|EMAIL|CADDRESS|ECAS|CRATING|PARENTBRCA|BRCA|CPTC|TAXPAYER_TYPE|BASIC_AC_BANK|BASIC_AC|NATIONALTAXLIC|TAX_ADDRESS|RECEIVE_ADDRESS|IS_INVOICE|TYPE_INVOICE|STATUS|CITP_USCC|CONTACTOR|ZIPCODE|INV_FREQ|SWIFTCODE|LNCARDID|TAXFREECODE|RISHRANK|SYS_DATE|
建信养老金管理有限责任公司|CCB Pension Management Co.,LTD.||1003485|CHN|1|2202||||||||0606|0606||||||||||5|91110108MA001PL714|||||||3|20180702|
建信期货有限责任公司|CCB Futures CO.,LTD.||1003486|CHN|1|2203||||||||0606|0606||||||||||5|91310000132110287D|||||||3|20180702|
中银消费金融有限公司|bank of china consumer finance |上海自由贸易试验区银城中路200号14楼1409-1410室|1003516|CHN|1|2157|63292479||||中国上海市上海市上海自由贸易试验区银城中路200号14楼1409-1410室|||0606|0607||1|N/A|N/A||||N||1|913100005574007652|N/A|200000||||Z00|3|20180702|
招联消费金融有限公司|Merchants Union Consumer Finance|深圳市前海深港合作区前湾一路鲤鱼门街一号前海深港合作区管理局综合办公楼|1003522|CHN|1|2157|0755-32980790||||中国广东省深圳市深圳市科技园科兴科学园A4栋18楼|||0606|0607||1|招商银行股份有限公司深圳科技园支行|755923891010666||||N||1|91440300326650441X|N/A|518000||||Z00|3|20180702|
中国银行股份有限公司|BANK OF CHINA ||1003544|CHN|1|2107||||||||0606|0607||||||||||5||||||||3|20180702|
深圳市博德创新投资有限公司|SHEN ZHEN SHI BO DE CHUANG XIN||1003548|CHN|1|2204||||||||0606|0607||||||||||5||||||||3|20180702|
福特汽车金融（中国）有限公司|FORD AUTOMOTIVE FINANCE (CHINA)  LIMITED|上海市浦东新区芳甸路1155号浦东嘉里城办公楼19层、20层|1004353|CHN|1|2155|-||||中国上海市浦东新区N/AN/A|||0606|0613||1|N/A|N/A||||N||1|913100007672289243|NARPAL SINGH AHLUWALIA|200000|||31001140001259133|Z00|3|20180702|
中国农业银行 上海市分行|AGRICULTURAL BANK OF CHINA SHANGHAI BRANCH||9000001|CHN|1|2107|||||中国上海市上海市AGRICULTURAL BANK OF CHINASHANGHAI BRANCH|||0606|0606||||||||||5|||9000001||ABOCCNBJ090|||3|20180702|
巴克莱银行|BARCLAYS BANK PLC||9000002|GBR|2|2302|||||中国境外境外其他LONDON1 CHURCHILL PLACE|||0606|0606||||||||||5|||E14 5HP||BARCGB22XXX |||1|20180702|
中国银行 上海分行|BANK OF CHINA  SHANGHAI BRANCH||9000003|CHN|1|2107|||||中国上海市上海市SHANGHAI23 ZHONGSHAN EAST 1 ROAD|||0606|0606||||||||||5|||200002||BKCHCNBJ300|||3|20180702|
中国银行 深圳分行|BANK OF CHINA SHENZHEN BRANCH||9000004|CHN|1|2107|||||中国广东省深圳市SHENZHENBANK OF CHINA SHENZHEN BRANCH|||0606|0606||||||||||5|||518046||BKCHCNBJ45A|||3|20180702|
德意志信孚银行 纽约|DEUTSCHE BANK TRUST COMPANY NY||9000005|USA|2|2302|||||中国境外境外其他NEW YORK1 BANKERS TRUST PLAZA, 16/F.|||0606|0606||||||||||5|||10004||BKTRUS33|||1|20180702|
美国银行 纽约|BANK OF AMERICA  NEW YORK||9000006|USA|2|2302|||||中国境外境外其他NEW YORK222 BROADWAY|||0606|0606||||||||||5|||10038||BOFAUS3N|||1|20180702|
彰化银行 昆山分行|CHANG HWA COMMERCIAL BANK, LTD. KUNSHAN BRANCH||9000007|CHN|1|2124|||||中国江苏省昆山市KUNSHANHEI LONG JIANG NORTH ROAD, 88|||0606|0606||||||||||5|||215300||CCBCCNBK|||1|20180702|
摩根大通银行(中国)有限公司 上海分行|JPMORGAN CHASE BANK(CHINA)CO.,LTD SHANGHAI BRANCH||9000008|CHN|1|2122|||||中国上海市上海市1601 WEST NANJING RD,SHANGHAIPARK PLACE FLOOR 41|||0606|0606||||||||||5|||200040||CHASCNSH|||3|20180702|
摩根大通银行 纽约|JPMORGAN CHASE BANK  NEW YORK||9000009|USA|2|2302|||||中国境外境外其他NEW YORK4 NEW YORK PLAZA FLOOR 15|||0606|0606||||||||||5|||10004||CHASUS33|||1|20180702|
中信银行 上海分行|CHINA CITIC BANK   SHANGHAI BRANCH||9000010|CHN|1|2108|||||中国上海市上海市SHANGHAI100 SHANGHAI YAN AN DONGLU|||0606|0606||||||||||5|||.||CIBKCNBJ200|||1|20180702|
花旗银行 伦敦|CITIBANK N.A.  LONDON||9000011|GBR|2|2302|||||中国境外境外其他LONDON33 CANADA SQUARE, CANARY WHARF|||0606|0606||||||||||5|||E14 5LB||CITIGB2L|||1|20180702|
花旗银行 纽约|CITIBANK N.A.    NEW YORK||9000012|USA|2|2302|||||中国境外境外其他NEW YORK111 WALL STREET|||0606|0606||||||||||5|||10043||CITIUS33||||20180702|
招商银行 上海创智天地支行|CHINA MERCHANTS   BANK SHANGHAI BR.||9000013|CHN|1|2108|||||中国境外境外其他SHANGHAI66 LUJIAZUI ROAD, PUDONG|||0606|0606||||||||||5|||200120||CMBCCNBS051|||1|20180702|
德意志银行 法兰克福|DEUTSCHE BANK AG. FRANKFURT||9000014|DEU|2|2302|||||中国境外境外其他FRANKFURTTAUNUSANLAGE 12|||0606|0606||||||||||5|||60262||DEUTDEFF|||1|20180702|
中国进出口银行|THE EXPORT-IMPORT BANK OF CHINA||9000015|CHN|1|2101|||||中国北京市北京市DONGCHENG DISTRICT,BEIJINGNO.77, BEIHEYAN STREET|||0606|0606||||||||||5|||100009||EIBCCNBJ|||1|20180702|
玉山银行 东莞分行|E.SUN COMMERCIAL BANK, LTD. DONGGUAN BRANCH||9000016|CHN|1|2124|||||中国广东省东莞市DONGGUANE SUN COMMERCIAL LTD DONGGUAN|||0606|0606||||||||||5|||.||ESUNCNBB|||1|20180702|
第一商业银行 上海分行|FIRST COMMERCIAL BANK        SHANGHAI BRANCH|-|9000017|CHN|1|2124|||||中国上海市上海市SHANGHAIFIRST BANK SHANGHAI BRANCH|||0606|0606||1|-|-||||N||4||-|201103||FCBKCNSH||Z00|3|20180702|
兴业银行 南京分行|INDUSTRIAL BANK CO.,LTD. NANJING BR||9000018|CHN|1|2108|||||中国江苏省南京市NANJING63 ZHUJIANG BANK|||0606|0606||||||||||5|||210008||FJIBCNBA560|||1|20180702|
富邦华一银行 上海|FUBON BANK(CHINA) CO., LTD SHANGHAI||9000019|CHN|1|2120|||||中国上海市上海市SHANGHAIFUBON BANK (CHINA) CO., LTD|||0606|0606||||||||||5|||200122||FSBCCNSH|||1|20180702|
中国工商银行 上海市分行|INDUSTRIAL AND COMMERCIAL BANK OF CHINA SHANGHAI MUNICIAL BRANCH||9000020|CHN|1|2107|||||中国上海市上海市SHANGHAI9 PU DONG AVENUE|||0606|0606||||||||||5|||200120||ICBKCNBJSH||||20180702|
纽约银行梅隆|THE BANK OF NEW YORK MELLON NY||9000021|USA|2|2302|||||中国境外境外其他NEW YORK, NY,8/F. 1 WALL STREET,|||0606|0606||||||||||5|||10286||IRVTUS3N|||2|20180702|
台湾土地银行 上海分行|LAND BANK OF TAIWAN SHANGHAI BRANCH||9000022|CHN|1|2124|||||中国上海市上海市上海市富城路99号1203-04室|||0606|0606||||||||||5|||200120||LBOTCNSH||||20180702|
台湾土地银行|LAND BANK OF TAIWAN                ||9000023|TWN|2|2302|||||TAIWAN台湾省台湾省TAIPEI46 KUAN CHIEN ROAD|||0606|0606||||||||||5|||10047||LBOTTWTP|||1|20180702|
南洋商业银行（中国）有限公司|NANYANG COMMERCIAL BANK (CHINA), LIMITED SHANGHAI||9000024|CHN|1|2123|||||中国上海市上海市NANYANG CEMMERCIAL BANK BUILDING,SHFLOOR 6 NO.800 CENTURY AVENUE,|||0606|0606||||||||||5|||200120||NYCBCNSH|||3|20180702|
华侨银行|OCBC BANK||9000025|CHN|1|2122|||||中国上海市上海市SHANGHAIFLOOR 23 710 DONG FANG ROAD,|||0606|0606||||||||||5|||200122||OCBCCNSH|||1|20180702|
中国人民银行|THE PEOPLE'S BANK OF CHINA    ||9000026|CHN|1|2000|||||CHINA上海市上海市SHANGHAITHE PEOPLE'S BANK OF CHINA|||0606|0606||||||||||5|||.||PBOCCNSH|||1|20180702|
中国建设银行 上海分行营业部|CHINA CONSTRUCTION BANK SHANGHAI BANKING DEPT.BRANCH||9000027|CHN|1|2107|||||中国上海市上海市SHANGHAICHINA CONSTRUCTION BANK|||0606|0606||||||||||5|||.||PCBCCNBJSH|||3|20180702|
三井住友银行|SUMITOMO MITSUI BANKING CORPORATION||9000028|JPN|2|2302|||||JAPAN境外境外其他TOKYOSUMITOMO MITSUI BANKING CORPORATION|||0606|0606||||||||||5|||.||SMBCJPJT|||3|20180702|
上海浦东发展银行|SHANGHAI PUDONG DEVELOPMENT BANK   ||9000029|CHN|1|2108|||||中国上海市上海市SHANGHAI12 ZHONG SHAN DONG YI ROAD|||0606|0606||||||||||5|||200002||SPDBCNSH|||1|20180702|
国泰世华银行 青岛分行|CATHAY UNITED BANK  QINGDAO BRANCH||9000030|CHN|1|7001|||||中国山东省青岛市KONGMIDDLE RD,QINGDAO,SHANDONGROOM 2305-2307,23F,NO.26,HONG|||0606|0606||||||||||5|||266071||UWCBCNSH608|||1|20180702|
国泰世华银行 香港分行|CATHAY UNITED BANK   HONG KONG BR.||9000031|HKG|2|7001|||||HONG KONG香港特别行政区香港特别行政区QUEEN’S ROAD CENTRAL,HONG KONG20TH FLOOR,LHT TOWER,NO.31|||0606|0606||||||||||5|||852||UWCBHKHH|||1|20180702|
国泰世华银行台湾总行|CATHAY UNITED BANK TAIWAN||9000032|TWN|2|7000|||||TAIWAN台湾省台湾省TAIPEI1F SONGREN RD. NO.7|||0606|0606||||||||||5|||11073||UWCBTWTP|||3|20180702|
国泰世华银行 财务部|CATHAY UNITED (FIN DIV TRSY DEPT) ||9000033|TWN|2|7000|||||中国境外台湾省TAIPEICATHAY UNITED (FIN DIV TRSY DEPT)|||0606|0606||||||||||5|||.||UWCBTWTP800|||3|20180702|
中国银行 山东分行|BANK OF CHINA  SHANDONG BRANCH||9000034|CHN|1|2107|||||中国广东省深圳市SHANDONGBANK OF CHINA SHANDONG BRANCH|||0606|0606||||||||||5|||.||BKCHCNBJ500|||3|20180702|
中国人民银行 济南分行|THE PEOPLE'S BANK OF CHINA    JINAN BRANCH||9000035|CHN|1|2000|||||中国上海市上海市JINAN BRANCHTHE PEOPLE'S BANK OF CHINA|||0606|0606||||||||||5|||.||PBOCCNBJJI|||1|20180702|
中国人民银行 青岛市中心支行|THE PEOPLE'S BANK OF CHINA    QINGDAO CENTER SUB-BRANCH||9000036|CHN|1|2000|||||中国上海市上海市QINGDAO CENTER SUB-BRANCHTHE PEOPLE'S BANK OF CHINA|||0606|0606||||||||||5|||.||PBOCCNSHQD||||20180702|
招商银行 青岛分行|CHINA MERCHANTS BANK QINGDAO BR.||9000037|CHN|1|2108|||||中国境外境外其他QINGDAOQINGDAO BRANCH|||0606|0606||||||||||5|||200120||CMBCCNBS400|||1|20180702|
花旗银行香港|CITIBANK N.A. HONGKONG||9000038|HKG|2|2302||||||||0606|0606||||||||||5|||||CITIHKHX|||1|20180702|
交通银行|Bank of Communications||9000039|CHN|1|2999|- -|- -|+||中国境外境外其他上海浦东陆家嘴银城中路188号交银金融大厦一楼营业厅|||0606|0606||||||||||5|||999999||COMMCNSHSH||Z00|1|20180702|
中国光大银行|Chian Everbright Bank||9000040|CHN|1|2999|- -|- -|+||中国境外境外其他北京市西城区太平桥大街25号.|||0606|0606||||||||||5|||999999||EVERCNBJSH||Z00|3|20180702|
中国兴业银行|Industrial Bank||9000041|CHN|1|2999|- -|- -|+||中国境外境外其他福建省福州市湖东路154号.|||0606|0606||||||||||5|||999999||FJIBCNBA600||Z00|3|20180702|
中国民生银行|China Minsheng Banking||9000042|CHN|1|2999|- -|- -|+||中国境外境外其他北京市西城区复兴门内大街2号.|||0606|0606||||||||||5|||999999||MSBCCNBJ||Z00||20180702|
中国建设银行|China Construction Bank||9000043|CHN|1|2999|- -|- -|+||中国境外境外其他北京西城区金融大街25号.|||0606|0606||||||||||5|||999999||PCBCCNBJSX||Z00||20180702|
上海农商银行|SHANGHAI RURAL COMMERCIAL BANK||9000044|CHN|1|2108|||||中国上海市上海市上海市浦东新区银城中路8号|||0606|0606||||||||||5|||200120||SHRCCNSH|||1|20180702|
中国工商银行江苏分行|INDUSTRIAL AND COMMERCIAL BANK OF CHINA(JIANGSU PROVINCIAL BRANCH)||9000045|CHN|1|2999||||||||0606|0606||||||||||5|||||ICBKCNBJJSP||||20180702|
THE BANK OF EAST ASIA,LTD.HONG KONG|THE BANK OF EAST ASIA,LTD.HONG KONG||9000046|HKG|2|2122||||||||0606|0606||||||||||5|||||BEASHKHH|||1|20180702|
BANK OF CHINA |BANK OF CHINA ||9000047|CHN|1|2107||||||||0606|0606||||||||||5|||||BKCHCNBJ530|||3|20180702|
BANK OF TAIWAN, KAOHSIUNG BR|BANK OF TAIWAN, KAOHSIUNG BR6620||9000048|TWN|2|2122||||||||0606|0606||||||||||5|||||BKTWTWTP011|||1|20180702|
HUA NAN COMMERCIAL BANK, TAIPEI|HUA NAN COMMERCIAL BANK, TAIPEI6620||9000049|TWN|2|2122||||||||0606|0606||||||||||5|||||HNBKTWTP|||1|20180702|
FIRST COMMERCIAL BANK|FIRST COMMERCIAL BANK620||9000050|TWN|2|2122||||||||0606|0606||||||||||5|||||FCBKTWTP|||1|20180702|
MIZUHO CORPORATE BANK LTD.SINGAPORE|MIZUHO CORPORATE BANK LTD.SINGAPORE||9000051|SGP|2|2122||||||||0606|0606||||||||||5|||||MHCBSGSG|||1|20180702|
中信银行东营分行|CHINA CITIC BANK DONGYING BRANCH||9000052|CHN|1|2108||||||||0606|0606||||||||||5|||||CIBKCNBJ257|||3|20180702|
兴业银行股份有限公司厦门分行|INDUSTRIAL BANK CO.,LTD.  XIAMEN BRANCH|厦门市思明区湖滨北路78号兴业大厦|9000053|CHN|1|2108||||051097@cib.com.cn|中国福建省思明区厦门市思明区湖滨北路78号兴业大厦|||0606|0606||1|兴业银行股份有限公司厦门分行|129680100101099169||||Y|1|1|91350200854981367X|李源|361000|1|FJIBCNBA260||Z00|3|20180702|
INDUSTRIAL AND COMMERCIAL BANK|INDUSTRIAL AND COMMERCIAL BANK  0F CHINA SEOUL KR||9000054|KOR|2|2122||||||||0606|0606||||||||||5|||||ICBKKRSE|||1|20180702|
BSUDPEPLXXX SCOTIABANK PERU S.A.A|BSUDPEPLXXX SCOTIABANK PERU S.A.A||9000055|PER|2|2122||||||||0606|0606||||||||||5|||||BSUDPEPL|||1|20180702|
澳新银行新西兰分行|ANZ BANK NEW ZEALAND LIMITED||9000056|NZL|2|2302||||||||0606|0606||||||||||5|||||ANZBNZ22058|||3|20180702|
BANK OF TOKYO-MITSUBISHI|BANK OF TOKYO-MITSUBISHI UFJ TAIPEI BRANCH||9000057|TWN|2|2108||||||||0606|0606||||||||||5|||||BOTKTWTX|||1|20180702|
中国银行香港分行|BANK OF CHINA(HONG KONG) LIMITED||9000058|HKG|2|2107||||||||0606|0606||||||||||5|||||BKCHHKHH|||1|20180702|
招商银行|CHINA MERCHANTS BANK||9000059|CHN|1|2108||||||||0606|0606||||||||||5|||||CMBCCNBS|||3|20180702|
上海浦东发展银行离岸作业中心|SHANGHAI PUDONG DEVELOPMENT BANK (OFFSHORE BUSINESS DEPARTMENT)||9000060|CHN|1|2108||||||||0606|0606||||||||||5|||||SPDBCNSHOSA|||3|20180702|
中国建设银行|CHINA CONSTRUCTION BANK ||9000061|CHN|1|2107||||||||0606|0606||||||||||5|||||PCBCCNBJ|||3|20180702|
兆丰国际商业银行忠孝分行|MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD. (CHUNG-HSIAO BRANCH)||9000062|TWN|2|2302||||||||0606|0606||||||||||5|||||ICBCTWTP005|||1|20180702|
汇丰银行股份有限公司香港总行|HONGKONG AND SHANGHAI BANKING  CORPORATION LIMITED.||9000063|HKG|2|2302||||||||0606|0606||||||||||5|||||HSBCHKHHHKH|||1|20180702|
东亚银行（中国）|THE BANK OF EAST ASIA||9000064|CHN|1|2123||||||||0606|0606||||||||||5|||||BEASCNSH|||3|20180702|
台湾银行南港分行|BANK OF TAIWAN  NANKANG BRANCH||9000065|TWN|2|2302||||||||0606|0606||||||||||5|||||BKTWTWTP107|||1|20180702|
星展银行（中国）|DEVELOPMENT BANK OF SINGAPORE||9000066|CHN|1|2123||||||||0606|0606||||||||||5|||||DBSSCNSH|||3|20180702|
花旗银行台湾|CITIBANK TAIWAN LIMITED||9000067|TWN|2|2302||||||||0606|0606||||||||||5|||||CITITWTX|||1|20180702|
彰化商业银行台湾|CHANG HWA COMMERICIAL BANK||9000068|TWN|2|2302||||||||0606|0606||||||||||5|||||CCBCTWTP|||1|20180702|
华南商业银行圆山分行|HUA NAN COMMERCIAL BANK, LTD. YUANSHAN BRANCH||9000069|TWN|2|2302||||||||0606|0606||||||||||5|||||HNBKTWTP107|||1|20180702|
中国银行东京分行|BANK OF CHINA  TOKYO BRANCH||9000070|CHN|1|2107||||||||0606|0606||||||||||5|||||BKCHJPJT|||3|20180702|
德意志银行新加坡分行|DEUTSCHE BANK AG, SINGAPORE BRANCH||9000071|SGP|2|2302||||||||0606|0606||||||||||5|||||DEUTSGSG|||1|20180702|
 中国农业银行河南省分行|AGRICULTURAL BANK OF CHINA HENAN BRANCH||9000072|CHN|1|2107||||||||0606|0606||||||||||5|||||ABOCCNBJ160|||3|20180702|
三菱东京日联银行 新加坡分行|THEN BANK OF TOKYO-MITSUBISHI UFJ, LTD (SINGAPORE BRANCH)||9000073|SGP|2|2108||||||||0606|0606||||||||||5|||||BOTKSGSX|||1|20180702|
中国银行纽约分行|BANK OF CHINA NEW YORK BRANCH||9000074|CHN|1|2107||||||||0606|0606||||||||||5|||||BKCHUS33|||3|20180702|
 摩根大通银行﹝中国﹞有限公司 北京分行|JPMORGAN CHASE BANK(CHINA) BEIJING BRANCH||9000075|CHN|1|2108||||||||0606|0606||||||||||5|||||CHASCN22|||3|20180702|
国泰世华银行新加坡分行|CATHAY UNITED BANK SINGAPORE BRANCH||9000076|SGP|2|2302||||||||0606|0606||||||||||5|||||UWCBSGSG|||1|20180702|
国泰世华银行境外金融中心|CATHAY UNITED BANK  OFFSHORE BANKING UNIT||9000077|TWN|2|2302||||||||0606|0606||||||||||5|||||UWCBTWTP033|||1|20180702|
韩国国民银行汉城总行|KOOKMIN BANK (HEAD OFFICE) SEOUL KR||9000078|KOR|2|2123||||||||0606|0606||||||||||5|||||CZNBKRSE|||1|20180702|
台湾新光商业银行|TAIWAN SHIN KONG COMMERCIAL BANK CO LTD (CHENG NEI-BRANCH) TAIPEI TAIWA||9000079|TWN|2|2124||||||||0606|0606||||||||||5|||||MKTBTWTP116|||1|20180702|
法国农业信贷银行|CREDIT AGRICOLE||9000080|FRA|2|2302||||||||0606|0606||||||||||5|||||AGRIFRPP835|||1|20180702|
韩国外汇银行|KOREA EXCHANGE BANK||9000081|KOR|2|2122||||||||0606|0606||||||||||5|||||KORCKTDR|||1|20180702|
澳新银行|AUSTRALIA AND NEW ZEALAND BANKING  GROUP LIMITED||9000082|AUS|2|2302||||||||0606|0606||||||||||5|||||ANZBAU3MXXX|||1|20180702|
瑞穗银行有限公司汉城分行|MIZUHO BANK,LIMITED SEOUL BRANCH||9000083|KOR|2|2122||||||||0606|0606||||||||||5|||||MHCBKRSE|||1|20180702|
意大利联合信贷银行|UNICREDIT S.P.A  BRANCH MILANO  PLAZZA FIRENZE||9000084|ITA|2|2124||||||||0606|0606||||||||||5|||||UNCRITMM|||1|20180702|
恒生银行（中国）|HANG SENG BANK||9000085|CHN|1|2123||||||||0606|0606||||||||||5|||||HASECNSH|||3|20180702|
国泰世华商业银行股份有限公司深圳分行|CATHAY UNITED BANK COMPANY LIMITED  SHENZHEN BRANCH|深圳市福田区深南大道西，农园路西东海国际中心A-2501A|9000086|CHN|1|7001|||||中国广东省深圳市深圳市福田区深南大道西、农园路西东海国际中心A-2501A|||0606|0606||1|国泰世华商业银行股份有限公司|00000000000||||N||5|91440300MA5DKY747F|钱明朝|000000||UWCBCNSH611||Z00|3|20180702|
华南商业银行世贸分行|HUA NAN COMMERCIAL BANK LTD.,SHIH MAO BRANCH||9000087|TWN|2|2302||||||||0606|0606||||||||||5|||||HNBKTWTPXXX|||1|20180702|
中国银行股份有限公司深圳宝安支行|BANK OF CHINA  SHENZHEN BAOAN SUB-BRANCH||9000088|CHN|1|2107||||||||0606|0606||||||||||5|||||BKCHCNBJ45|||3|20180702|
招商银行股份有限公司深圳分行|CHINA MERCHANTS BANK SHENZHEN BRANCH||9000089|CHN|1|2108||||||||0606|0606||||||||||5|||||CMBCCNBS050|||3|20180702|
